state,scenario,recharge_tag,slr_m,status,sec,perm_valid_pix,gate_pix,swi_pix,SWI not accelerated,Lateral-dominated,Mixed,Vertical-dominated,pixel_area_km2,perm_valid_area_km2,gate_area_km2,swi_area_km2,SWI not accelerated_area_km2,Lateral-dominated_area_km2,Mixed_area_km2,Vertical-dominated_area_km2
OR,0_0ft,NorESM2-MM_ssp585_NearFuture_2030-2059,0,processed,8.942341089,568720,93746,474974,474974,66606,26926,214,0.000702997,399.8087137,65.90319959,333.9055141,333.9055141,46.82384861,18.92890952,0.150441456
SC,0_0ft,ACCESS-CM2_ssp126_FarFuture_2070-2099,0,processed,15.28430653,3765542,329973,3435569,3435569,292290,33230,4453,0.000702748,2646.228876,231.8880206,2414.340856,2414.340856,205.4063501,23.35233163,3.129338934
SC,0_0ft,ACCESS-CM2_ssp126_Historical_1980-2009,0,processed,13.6693325,3765542,329973,3435569,3435569,292290,30856,6827,0.000702748,2646.228876,231.8880206,2414.340856,2414.340856,205.4063501,21.68400677,4.7976638
SC,0_0ft,ACCESS-CM2_ssp126_NearFuture_2030-2059,0,processed,12.80010629,3765542,329973,3435569,3435569,292290,32910,4773,0.000702748,2646.228876,231.8880206,2414.340856,2414.340856,205.4063501,23.12745212,3.354218444
SC,0_0ft,ACCESS-CM2_ssp245_FarFuture_2070-2099,0,processed,11.62769103,3765542,329973,3435569,3435569,292290,33463,4220,0.000702748,2646.228876,231.8880206,2414.340856,2414.340856,205.4063501,23.51607203,2.96559854
SC,0_0ft,ACCESS-CM2_ssp245_Historical_1980-2009,0,processed,10.98456788,3765542,329973,3435569,3435569,292290,30847,6836,0.000702748,2646.228876,231.8880206,2414.340856,2414.340856,205.4063501,21.67768203,4.803988536
SC,0_0ft,ACCESS-CM2_ssp245_NearFuture_2030-2059,0,processed,10.76902628,3765542,329973,3435569,3435569,292290,33452,4231,0.000702748,2646.228876,231.8880206,2414.340856,2414.340856,205.4063501,23.50834179,2.973328773
SC,0_0ft,ACCESS-CM2_ssp585_FarFuture_2070-2099,0,processed,11.22326064,3765542,329973,3435569,3435569,292290,33359,4324,0.000702748,2646.228876,231.8880206,2414.340856,2414.340856,205.4063501,23.44298619,3.038684381
SC,0_0ft,ACCESS-CM2_ssp585_Historical_1980-2009,0,processed,10.71645808,3765542,329973,3435569,3435569,292290,30723,6960,0.000702748,2646.228876,231.8880206,2414.340856,2414.340856,205.4063501,21.59054122,4.891129346
SC,0_0ft,ACCESS-CM2_ssp585_NearFuture_2030-2059,0,processed,11.3980968,3765542,329973,3435569,3435569,292290,33335,4348,0.000702748,2646.228876,231.8880206,2414.340856,2414.340856,205.4063501,23.42612022,3.055550344
SC,0_0ft,BCC-CSM2-MR_ssp126_FarFuture_2070-2099,0,processed,10.66075945,3765542,329973,3435569,3435569,292290,33293,4390,0.000702748,2646.228876,231.8880206,2414.340856,2414.340856,205.4063501,23.39660479,3.08506578
SC,0_0ft,BCC-CSM2-MR_ssp126_Historical_1980-2009,0,processed,10.82499576,3765542,329973,3435569,3435569,292290,30979,6704,0.000702748,2646.228876,231.8880206,2414.340856,2414.340856,205.4063501,21.77044483,4.711225738
SC,0_0ft,BCC-CSM2-MR_ssp126_NearFuture_2030-2059,0,processed,10.75574064,3765542,329973,3435569,3435569,292290,33098,4585,0.000702748,2646.228876,231.8880206,2414.340856,2414.340856,205.4063501,23.25956884,3.222101731
